contrast,ori,side,precue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,fix2.started,precue_2.started,precue_2.stopped,left_grating.started,right_grating.started,noise_left2.started,noise_right2.started,key_resp.started,fix1_2.started,fix2_2.started,key_resp.keys,key_resp.rt,key_resp_2.started,break_text_2.started,key_resp_2.keys,fix1.stopped,fix2.stopped,left_grating.stopped,right_grating.stopped,noise_left2.stopped,noise_right2.stopped,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
25.5,45,-1,-1,3,91,415,76,526.139293300017,526.139293300017,526.6396065000154,526.7063843000215,526.7567297000205,526.7567297000205,526.7567297000205,526.7567297000205,526.8066086000181,526.8066086000181,526.8066086000181,right,0.4004170999978669,527.2237486000231,527.2237486000231,None,526.8066086000181,526.8066086000181,526.8066086000181,526.8066086000181,526.8066086000181,526.8066086000181,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
39.2,315,-1,0,3,92,416,16,527.2237486000231,527.2237486000231,527.7241918000218,527.7909051000024,527.8411064000102,527.8411064000102,527.8411064000102,527.8411064000102,527.8909005000023,527.8909005000023,527.8909005000023,left,0.44489850001991726,528.3581476000254,528.3581476000254,None,527.8909005000023,527.8909005000023,527.8909005000023,527.8909005000023,527.8909005000023,527.8909005000023,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
15.7,45,1,0,3,93,417,19,528.3581476000254,528.3581476000254,528.8587302000087,528.9253129000135,528.975608400011,528.975608400011,528.975608400011,528.975608400011,529.025531900028,529.025531900028,529.025531900028,right,0.36548199999378994,529.4090493000112,529.4090493000112,None,529.025531900028,529.025531900028,529.025531900028,529.025531900028,529.025531900028,529.025531900028,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
25.5,45,-1,0,3,94,418,4,529.4090493000112,529.4090493000112,529.9097025000083,529.9764526000072,530.0267191000166,530.0267191000166,530.0267191000166,530.0267191000166,530.0763853000244,530.0763853000244,530.0763853000244,right,0.6752306999987923,530.7771019000211,530.7771019000211,None,530.0763853000244,530.0763853000244,530.0763853000244,530.0763853000244,530.0763853000244,530.0763853000244,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
39.2,45,-1,0,3,95,419,7,530.7771019000211,530.7771019000211,531.2777663000161,531.3444868000224,531.3946696000057,531.3946696000057,531.3946696000057,531.3946696000057,531.4445372000046,531.4445372000046,531.4445372000046,left,0.6188580999732949,532.095066000009,532.095066000009,None,531.4445372000046,531.4445372000046,531.4445372000046,531.4445372000046,531.4445372000046,531.4445372000046,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
29.4,45,1,0,3,96,420,23,532.095066000009,532.095066000009,532.5956140000199,532.6624609000282,532.7128108000034,532.7128108000034,532.7128108000034,532.7128108000034,532.7623209000158,532.7623209000158,532.7623209000158,left,0.8534810999990441,533.6468230000173,533.6468230000173,None,532.7623209000158,532.7623209000158,532.7623209000158,532.7623209000158,532.7623209000158,532.7623209000158,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
22.7,315,-1,-1,3,97,421,84,533.6468230000173,533.6468230000173,534.1472286000208,534.2139695000078,534.2643102000002,534.2643102000002,534.2643102000002,534.2643102000002,534.3141309000202,534.3141309000202,534.3141309000202,right,0.4691402000025846,534.8144600000232,534.8144600000232,None,534.3141309000202,534.3141309000202,534.3141309000202,534.3141309000202,534.3141309000202,534.3141309000202,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
29.4,45,-1,1,3,98,422,41,534.8144600000232,534.8144600000232,535.3152885000163,535.3818552000157,535.4321424000082,535.4321424000082,535.4321424000082,535.4321424000082,535.4819751000032,535.4819751000032,535.4819751000032,right,0.44584430000395514,535.9490730000252,535.9490730000252,None,535.4819751000032,535.4819751000032,535.4819751000032,535.4819751000032,535.4819751000032,535.4819751000032,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
29.4,315,-1,1,3,99,423,50,535.9490730000252,535.9490730000252,536.4496035000193,536.5162940000009,536.5665808000194,536.5665808000194,536.5665808000194,536.5665808000194,536.6164008000051,536.6164008000051,536.6164008000051,right,0.4548810999840498,537.1000779000169,537.1000779000169,None,536.6164008000051,536.6164008000051,536.6164008000051,536.6164008000051,536.6164008000051,536.6164008000051,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
42.7,45,1,1,3,100,424,62,537.1000779000169,537.1000779000169,537.600737700006,537.6674209000194,537.7177692000114,537.7177692000114,537.7177692000114,537.7177692000114,537.7675727000169,537.7675727000169,537.7675727000169,right,0.4392920999962371,538.234689600009,538.234689600009,None,537.7675727000169,537.7675727000169,537.7675727000169,537.7675727000169,537.7675727000169,537.7675727000169,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
35.3,45,1,-1,3,101,425,96,538.234689600009,538.234689600009,538.7352197,538.8018391000223,538.8520982000045,538.8520982000045,538.8520982000045,538.8520982000045,538.9020205000124,538.9020205000124,538.9020205000124,left,0.3452178000006825,539.2690691000025,539.2690691000025,None,538.9020205000124,538.9020205000124,538.9020205000124,538.9020205000124,538.9020205000124,538.9020205000124,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
12.1,45,-1,0,3,102,426,0,539.2690691000025,539.2690691000025,539.7695830000157,539.8362985000131,539.8865184000169,539.8865184000169,539.8865184000169,539.8865184000169,539.936317500018,539.936317500018,539.936317500018,right,0.6463655999978073,540.6037095000211,540.6037095000211,None,539.936317500018,539.936317500018,539.936317500018,539.936317500018,539.936317500018,539.936317500018,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
29.4,315,-1,-1,3,103,427,86,540.6037095000211,540.6037095000211,541.1039902000048,541.1706604000065,541.2211438000086,541.2211438000086,541.2211438000086,541.2211438000086,541.2708846000023,541.2708846000023,541.2708846000023,left,0.4089407999999821,541.7046744000108,541.7046744000108,None,541.2708846000023,541.2708846000023,541.2708846000023,541.2708846000023,541.2708846000023,541.2708846000023,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
29.4,45,-1,0,3,104,428,5,541.7046744000108,541.7046744000108,542.2052163000044,542.2720339000225,542.3222675000143,542.3222675000143,542.3222675000143,542.3222675000143,542.3721341000055,542.3721341000055,542.3721341000055,right,0.3234977000101935,542.722523400007,542.722523400007,None,542.3721341000055,542.3721341000055,542.3721341000055,542.3721341000055,542.3721341000055,542.3721341000055,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
12.1,315,1,-1,3,105,429,99,542.722523400007,542.722523400007,543.2227043000166,543.2897937000089,543.3401256000216,543.3401256000216,543.3401256000216,543.3401256000216,543.3897821000137,543.3897821000137,543.3897821000137,left,0.5146554999810178,543.9237042000168,543.9237042000168,None,543.3897821000137,543.3897821000137,543.3897821000137,543.3897821000137,543.3897821000137,543.3897821000137,,12,001,2025-12-19_15h47.14.271,2025C_exp1_comp,2022.2.4,60.04732930534004,
